,0
25520-570,-43.37222
74503-110,-49.27929
68180-005,-55.98266
80330-000,-49.2986
58800-010,-38.2296
93265-010,-51.1799
66090-150,-48.46718
13610-210,-47.38882
35900-013,-43.22578
86181-000,-51.28198
45820-090,-39.58651
77402-100,-49.0676
13250-330,-46.84223
26525-022,-43.4181
77600-970,-48.88479
13270-130,-46.99709
04621-002,-46.68379
68625-005,-47.35439
53401-400,-34.87907
72015-020,-48.05179
11510-003,-46.43266
13840-056,-46.94531
04004-040,-46.64219
70730-522,-47.88749
70351-530,-47.90318
20011-040,-43.17694
03403-002,-46.53727
51030-300,-34.90733
82510-160,-49.24256
01023-001,-46.6308
06311-001,-46.84552
20931-350,-43.21547
49075-200,-37.07103
65040-000,-44.27168
01506-000,-46.6349
80060-060,-49.26995
22640-102,-43.32206
95020-000,-51.16315
03028-050,-46.60985
05005-000,-46.6704
03323-000,-46.57428
59012-200,-35.2044
09636-000,-46.56479
08010-010,-46.44198
11310-060,-46.39228
01044-908,-47.30131
04208-052,-46.60199
73010-514,-47.78981
58010-450,-34.88822
04132-000,-46.61686
03210-000,-46.56025
03374-000,-46.49417
07071-050,-46.56654
29100-401,-40.29772
11070-101,-46.33416
35180-026,-42.64807
65055-285,-44.23152
71200-027,-47.86357
72405-604,-48.05184
71710-520,-47.96578
50790-900,-35.3746
40375-017,-38.49088
97015-550,-53.8148
94920-100,-51.10142
61932-971,-38.58578
13020-431,-47.06762
30130-180,-43.93639
66810-100,-48.48768
13070-751,-47.0791
25620-001,-43.17744
69070-250,-60.00938
40445-201,-38.50532
42800-060,-38.32481
54110-130,-35.01996
83005-000,-49.19925
14085-000,-47.80378
55641-080,-35.56718
14160-570,-47.9871
09280-000,-46.51596
89110-064,-48.95638
18070-671,-47.48871
66085-005,-48.47093
72800-680,-47.95028
20071-003,-43.18436
29200-260,-40.49889
13170-902,-47.26605
06717-210,-46.92442
88040-370,-48.51863
60325-001,-38.55709
35160-022,-42.53135
01310-000,-46.65237
01315-000,-46.64068
18300-260,-48.34682
13330-070,-47.20901
30710-010,-43.95567
23515-000,-43.67307
02710-001,-46.67332
09571-380,-46.56433
01227-200,-46.66061
29146-201,-40.38471
02515-020,-46.65743
76900-027,-61.95438
94010-020,-50.99318
29190-010,-40.27585
64018-500,-42.80926
11701-902,-46.41352
05323-001,-46.75415
12600-210,-45.12311
13030-405,-47.07979
20551-031,-43.24804
01126-000,-46.64019
06454-040,-46.8478
06401-000,-46.87537
21041-040,-43.25177
24220-041,-43.10949
56304-020,-40.49917
61600-040,-38.65629
25900-001,-43.03768
68456-760,-49.67638
