index,CNPJ,SEQUENCIALDOCNPJ,DVDOCNPJ,NOMEINSTITUIÇÃO,SEGMENTO,CÓDCOMPEAG,NOMEAGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATAINÍCIO,DDD,FONE,IDINSTALAÇÃO,MUNICIPIOIBGE,LATITUDE,LONGITUDE,LATITUDE_v2,LONGITUDE_v2
12421,00.000.208,126,21,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,237,AGÊNCIA TJ TAGUATINGA                                       ,"AE 23, SETOR C NORTE",          ,FÓRUM TAGUATINGA                                  ,TAGUATINGA,72115-901,BRASILIA(TAGUATINGA),DF,2013-01-11 00:00:00,61,335266600,9999367928,5300108,-15.82272,-48.06721,,
12422,00.000.208,121,17,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,133,AGÊNCIA SES-DF/HRT                                          ,SETOR C-NORTE,          ,ÁREA ESPECIAL 24                                  ,TAGUATINGA,72115-902,BRASILIA(TAGUATINGA),DF,2013-01-11 00:00:00,61,356215240,9999367936,5300108,-15.82273,-48.0672,,
12425,00.000.208,24,5,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,24,TAGUATINGA NORTE                                            ,QI 03 LOTES 1 E 2 LOJAS 1 A 5,          ,SAMDU                                             ,TAGUATINGANORTE,72135-030,BRASILIA(TAGUATINGA),DF,21/10/1977 ,61,33221515,9999990699,5300108,-16.00896,-48.0572,,
12427,00.000.208,142,41,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,295,AGÊNCIA JK SHOPPING                                         ,QNN 34 ÁREA ESPECIAL,1,S/N LOJA 201 A 204                                ,TAGUATINGANORTE,72145-450,BRASILIA(TAGUATINGA),DF,28/10/2019 ,61,34514807,9999159751,5300108,-15.81205,-48.09628,,
12428,00.000.208,44,40,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,74,QNL                                                         ,"EQNL 05/ 07, BLOCO A",          ,LOJA 01 - TÉRREO                                  ,TAGUATINGANORTE,72150-511,BRASILIA(TAGUATINGA),DF,1990-08-01 00:00:00,61,33221515,9999990683,5300108,-15.82295,-48.0811,,
12429,60746948,1502,70,BANCO BRADESCO S.A.,Banco Múltiplo,1231,CUMBICA                                                     ,"AV. SANTOS DUMONT,230/R JUAZEIRO DO N.",          ,185 R CARIR                                       ,JARDIMCUMBICA,72200-000,GUARULHOS,SP,23/11/1981 ,0,110422,9999967073,3518800,,,,
12431,00.000.208,110,64,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,217,AGÊNCIA SEE-DF/CEILÂNDIA                                    ,"QNM 14, ÁREA ESPECIAL",          ,DRE ESCOLA 54                                     ,CEILÂNDIANORTE,72210-140,BRASILIA(CEILANDIA),DF,2013-01-11 00:00:00,61,337125510,9999367963,5300108,-15.82624,-48.12495,,
12432,60746948,2081,4,BANCO BRADESCO S.A.,Banco Múltiplo,1842,"CEILANDIA-CIDADE SATELITE, DF                               ","CNM, 1, BLOCO C",          ,                                                  ,CEILANDIA,72215-000,BRASILIA(CEILANDIA),DF,16/12/1985 ,61,3712828,9999966548,5300108,-15.80573,-48.15136,,
12433,60701190,3318,1,ITAÚ UNIBANCO S.A.,Banco Múltiplo,7957,BRASÍLIA/SATÉLITE CEILÂNDIA SUL                             ,"QNM 01, S/Nº",          ,CONJUNTO G - LOTES 1 E 3                          ,CEILÂNDIASUL,72215-017,BRASILIA,DF,29/12/2009 ,11,30034828,9999581301,5300108,-15.81894,-48.10457,,
12434,90400888,1968,88,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,3971,DF-CEILANDIA                                                ,"QNM QUADR 01 CONJUNTO H, LOTE 10",          ,                                                  ,CEILANDIA,72215-018,BRASILIA(CEILANDIA),DF,30/04/2009 ,61,3739823,9999608394,5300108,-15.81837,-48.10415,,
12435,90400888,3039,86,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,1988,001 1988 DF-CEILANDIA I                                     ,QNM 01 CONJ H,0,S/N LOTE 10                                       ,CEILANDIA,72215-018,BRASILIA(TAGUATINGA),DF,2018-08-10 00:00:00,61,33789650,9999201458,5300108,-15.81837,-48.10415,,
