index,CNPJ,SEQUENCIALDOCNPJ,DVDOCNPJ,NOMEINSTITUIÇÃO,SEGMENTO,CÓDCOMPEAG,NOMEAGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATAINÍCIO,DDD,FONE,IDINSTALAÇÃO,MUNICIPIOIBGE,LATITUDE,LONGITUDE,LATITUDE_v2,LONGITUDE_v2
2,00.000.208,94,0,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,163,AGÊNCIA CAESB ÁGUAS CLARAS                                  ,"AV. SIBIPIRUNA, LOTES 13,15,17 E 21",          ,                                                  ,ÁGUASCLARAS,00000-000,BRASILIA(AGUASCLARAS),DF,2013-02-09 00:00:00,61,343531100,9999370114,5300108,,,,
3,00.000.208,95,90,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,198,AGÊNCIA CAESB SIA                                           ,"SIA - SETOR INDÚSTRIA ABASTECIMENTO, ÁRE",          ,                                                  ,GUARÁ,00000-000,BRASILIA(GUARA),DF,2013-02-09 00:00:00,61,323476700,9999370111,5300108,,,,
7,1023570,11,31,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,Banco Múltiplo,113,AG. BRASILIA                                                ,"QS 03 - EPCT LOTES 03, 05, 07 E 09",          ,"15º ANDAR  (SALAS 1501, 1503, 1505 E 1507)        ",TAGUATINGASUL,00000-000,BRASILIA,DF,2007-01-10 00:00:00,11,55037000,9999676165,5300108,,,,
8,1023570,12,12,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,Banco Múltiplo,121,AG. BARREIRAS                                               ,RUA SÃO SEBASTIÃO,421,QD 52 LT. P/04                                    ,BARREIRINHAS,00000-000,BARREIRAS,BA,19/10/2007 ,11,55037000,9999673093,2903201,,,,
11,30306294,13,89,BANCO BTG PACTUAL S.A.,Banco Múltiplo,20,SÃO PAULO                                                   ,AV. BRIGADEIRO FARIA LIMA,3477,9º ANDAR                                          ,ITAIMBIBI,00000-000,SAOPAULO,SP,27/11/2019 ,11,3383,9999153916,3550308,,,,
12,30306294,17,2,BANCO BTG PACTUAL S.A.,Banco Múltiplo,27,NVIO BRASIL SERVIÇOS DE PAGAMENTOS LTDA                     ,AV. BRIGADEIRO FARIA LIMA,3477,                                                  ,,00000-000,SAOPAULO,SP,17/11/2020 ,11,33832000,9999119427,3550308,,,,
13,30306294,18,93,BANCO BTG PACTUAL S.A.,Banco Múltiplo,55,AQUICARD                                                    ,AV. BRIGADEIRO FARIA LIMA,3477,                                                  ,,00000-000,SAOPAULO,SP,17/11/2020 ,11,33832000,9999119434,3550308,,,,
14,30306294,19,74,BANCO BTG PACTUAL S.A.,Banco Múltiplo,99,GEMINI                                                      ,AV. BRIGADEIRO FARIA LIMA,3477,                                                  ,,00000-000,SAOPAULO,SP,17/11/2020 ,11,33832000,9999119436,3550308,,,,
15,30306294,21,99,BANCO BTG PACTUAL S.A.,Banco Múltiplo,70,BANCO BTG PACTUAL S.A. ZOOM                                 ,AV BRIG FARIA LIMA,3477,ANDAR 14 SALA 133                                 ,,00000-000,SAOPAULO,SP,2021-03-05 00:00:00,11,3383,9999090136,3550308,,,,
16,30306294,22,70,BANCO BTG PACTUAL S.A.,Banco Múltiplo,80,BANCO BTG PACTUAL S.A. AGENCIA BUSCAPE                      ,AV BRIG FARIA LIMA,3477,ANDAR 14 SALA 134                                 ,,00000-000,SAOPAULO,SP,2021-03-05 00:00:00,11,3383,9999090137,3550308,,,,
17,30306294,27,84,BANCO BTG PACTUAL S.A.,Banco Múltiplo,7,AGÊNCIA - RIBEIRÃO PRETO                                    ,RUA PASCOAL BARDARO,1075,                                                  ,,00000-000,RIBEIRAOPRETO,SP,24/01/2023 ,11,33832000,9998983405,3543402,,,,
18,33479023,98,2,BANCO CITIBANK S.A.,Banco Múltiplo,67,ALPHAVILLE                                                  ,"ALAMEDA RIO NEGRO, Nº 585",          ,EDIFÍCIO JAÇARI - BLOCO A - LOJA 02               ,,00000-000,BARUERI,SP,17/08/2004 ,11,55761134,9999833141,3505708,,,,
19,33479023,101,42,BANCO CITIBANK S.A.,Banco Múltiplo,91,LAGO SUL                                                    ,SHI/SUL QI 11 BLOCO K,          ,LOJA 5                                            ,,00000-000,BRASILIA,DF,2004-01-12 00:00:00,11,55761134,9999809959,5300108,,,,
21,48795256,1,69,BANCO ANDBANK (BRASIL) S.A.,Banco Múltiplo,18,MATRIZ                                                      ,AVENIDA BRIGADEIRO FARIA LIMA,2179,9º ANDAR                                          ,JARDIMPAULISTANO,00000-000,SAOPAULO,SP,2010-05-07 00:00:00,11,30957070,9999559748,3550308,,,,
22,60701190,119,98,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3789,PERS/JUSCELINO KUBITSCHEK                                   ,"AV. PRESIDENTE JUSCELINO KUBITSCHEK,1200",          ,                                                  ,VILANOVACONCEICAO,00000-000,SAOPAULO,SP,21/05/2001 ,11,30034828,9999970383,3550308,,,,
23,60701190,138,50,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3247,TABOAO DA SERRA/CENTRO                                      ,"RUA DO TESOURO, 340",          ,                                                  ,PARQUESANTOSDUMONT,00000-000,TABOAODASERRA,SP,21/05/2001 ,11,30034828,9999970364,3552809,,,,
24,60701190,1678,15,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3756,PERSONNALITE HIGIENOPOLIS                                   ,"AV. HIGIENOPOLIS, 462",          ,                                                  ,HIGIENOPOLIS,00000-000,SAOPAULO,SP,30/04/1999 ,11,30034828,9999968881,3550308,,,,
25,60701190,1687,6,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3799,PERSONNALITE DIADEMA                                        ,"RUA FELIPE CAMARAO, 14",          ,                                                  ,VILACONCEICAO,00000-000,DIADEMA,SP,30/04/1999 ,11,30034828,9999968872,3513801,,,,
26,60746948,6634,99,BANCO BRADESCO S.A.,Banco Múltiplo,6595,"PRIME PRESIDENTE ANTONIO CARLOS, URB. RIO DE JANEIRO, RJ    ","AV. PRESIDENTE ANTONIO CARLOS, 615/641",          ,PAVIMENTO SUPERIOR                                ,CENTRO,00000-000,RIODEJANEIRO,RJ,29/12/2010 ,21,22403522,9999537314,3304557,,,,
27,90400888,2545,94,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,928,001-0928 AV 136-CAP-GO                                      ,"AV 136, SN",          ,QUADRA F44 LT 22                                  ,SETORSUL,00000-000,GOIANIA,GO,29/07/2010 ,62,30966150,9999558486,5208707,,,,
28,90400888,2848,25,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,1721,001-1721 C MANCINI-TRES LAGOAS-MS                           ,AV CAP OLINTO MANCINI,857,/867                                              ,CENTRO,00000-000,TRESLAGOAS,MS,15/08/2013 ,67,32218950,9999371800,5008305,,,,
42,61186680,50,52,BANCO BMG S.A.,Banco Múltiplo,44,AGENCIA RUA DIREITA                                         ,RUA FREDERICO ABRANCES,239,LOJA                                              ,SANTACECÍLIA,01002-000,SAOPAULO,SP,29/02/2016 ,11,31113500,9999287560,3550308,-23.54856,-46.63498,,
44,00.000.208,23,16,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,23,SAO PAULO                                                   ,"RUA JOSE BONIFACIO, NRO 186,192",          ,                                                  ,SE-CENTRO,01003-000,SAOPAULO,SP,29/09/1977 ,11,31052135,9999990700,3550308,-23.54888,-46.63753,,
45,60746948,471,86,BANCO BRADESCO S.A.,Banco Múltiplo,475,"ANHANGABAU,URB.SAO PAULO, SP                                ","PARQUE DO ANHANGABAU, 404 E 414 E",0,"RUA LIBERO BADARO, 487 E 501                      ",CENTRO,01007-040,SAOPAULO,SP,23/04/1973 ,11,32420046,9999967997,3550308,-23.54599,-46.63658,,
50,60746948,3388,22,BANCO BRADESCO S.A.,Banco Múltiplo,2692,"RUA LIBERO BADARO,URB.SAO PAULO, SP                         ","RUA LIBERO BADARO, 367 E 393",          ,60746948,CENTRO,01009-000,SAOPAULO,SP,19/05/2003 ,11,32421133,9999879124,3550308,-23.54644,-46.63621,,
51,60746948,3482,8,BANCO BRADESCO S.A.,Banco Múltiplo,1762,"PRIME LIBERO BADARO,URB.SAO PAULO, SP                       ","RUA LIBERO BADARO, 367/393",          ,60746948,CENTRO,01009-000,SAOPAULO,SP,22/09/2003 ,11,31018668,9999876062,3550308,-23.54644,-46.63621,,
52,61348538,1,86,BANCO C6 CONSIGNADO S.A.,Banco Múltiplo,1,MATRIZ                                                      ,RUA LIBERO BADARÓ,377,24º ANDAR - CONJ. 2401 - EDIFÍCIO MERCANTIL FINASA,CENTRO,01009-000,SAOPAULO,SP,1991-01-07 00:00:00,11,33437100,9999963131,3550308,-23.54644,-46.63621,,
54,92702067,485,55,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banco Múltiplo,982,SANTA ISABEL                                                ,AV. LIBERDADE,2282,                                                  ,CENTRO,01010-110,VIAMAO,RS,18/04/2003 ,51,34932362,9999879772,4323002,,,,
64,58160789,3,90,BANCO SAFRA S.A.,Banco Múltiplo,4,BARAO                                                       ,"RUA XV DE NOVEMBRO, 212",          ,                                                  ,CENTRO,01013-000,SAOPAULO,SP,26/09/1969 ,11,31247400,9999971422,3550308,-23.54751,-46.63417,,
65,58160789,92,65,BANCO SAFRA S.A.,Banco Múltiplo,2,CENTRAL QUINZE                                              ,RUA XV DE NOVEMBRO 212,          ,                                                  ,CENTRO,01013-000,SAOPAULO,SP,1988-06-09 00:00:00,11,32937100,9999971345,3550308,-23.54751,-46.63417,,
66,58160789,93,46,BANCO SAFRA S.A.,Banco Múltiplo,56,BOA VISTA                                                   ,RUA XV DE NOVEMBRO,212,                                                  ,CENTRO,01013-000,SAOPAULO,SP,1985-03-06 00:00:00,11,32934100,9999971344,3550308,-23.54751,-46.63417,,
71,60746948,2,1,BANCO BRADESCO S.A.,Banco Múltiplo,99,"CENTRAL,URB.SAO PAULO, SP                                   ","RUA 15 DE NOVEMBRO, 233",          ,                                                  ,CENTRO,01013-001,SAOPAULO,SP,1957-01-04 00:00:00,11,32924100,9999968466,3550308,-23.54751,-46.63417,,
73,58160789,183,37,BANCO SAFRA S.A.,Banco Múltiplo,204,SAÚDE                                                       ,RUA QUINZE DE NOVEMBRO,212,"E228, ED. CONDE LUIZ EDUARDO MATARAZZO            ",CENTRO,01013-915,SAOPAULO,SP,14/08/2014 ,11,55912160,9999333198,3550308,-23.54694,-46.63414,,
76,60701190,1681,10,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3740,PERSONNALITE CENTRO                                         ,"RUA BOA VISTA, 176",          ,TÉRREO                                            ,CENTRO,01014-000,SAOPAULO,SP,30/04/1999 ,11,30034828,9999968878,3550308,-23.54573,-46.63356,,
77,60746948,3611,31,BANCO BRADESCO S.A.,Banco Múltiplo,3245,"PRIME RUA BOA VISTA,URB.SAO PAULO, SP                       ",RUA BOA VISTA,236,TÉRREO                                            ,CENTRO,01014-000,SAOPAULO,SP,25/02/2004 ,11,32931900,9999869767,3550308,-23.54573,-46.63356,,
78,60746948,3621,3,BANCO BRADESCO S.A.,Banco Múltiplo,1628,"RUA BOA VISTA, URB. SAO PAULO, SP                           ","RUA BOA VISTA, 236",242,                                                  ,CENTRO,01014-000,SAOPAULO,SP,25/02/2004 ,11,32936000,9999869800,3550308,-23.54573,-46.63356,,
80,90400888,297,10,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,1297,SAO PAULO                                                   ,"RUA BOA VISTA, 263",          ,                                                  ,CENTRO,01014-001,SAOPAULO,SP,1985-12-08 00:00:00,11,32499222,9999956299,3550308,-23.54573,-46.63356,,
81,90400888,1601,82,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,3004,001-3004 SP-R. BOA VISTA                                    ,"RUA BOA VISTA,",263,                                                  ,CENTRO,01014-001,SAOPAULO,SP,30/04/2009 ,11,32925900,9999607634,3550308,-23.54573,-46.63356,,
85,90400888,751,50,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,726,JOAO MENDES                                                 ,RUA ONZE DE AGOSTO 8,          ,                                                  ,SE,01018-010,SAOPAULO,SP,31/08/2006 ,11,32914477,9999724569,3550308,-23.55178,-46.63368,,
86,90400888,1229,22,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,779,001 0779 JOAO MENDES-SP II                                  ,R ONZE DE AGOSTO,8,                                                  ,SE,01018-010,SAOPAULO,SP,18/12/2006 ,11,55386104,9999709159,3550308,-23.55178,-46.63368,,
87,90400888,2617,1,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,908,001 0908 JOAO MENDES I                                      ,R ONZE DE AGOSTO,8,                                                  ,SE,01018-010,SAOPAULO,SP,24/10/2011 ,11,31217000,9999501201,3550308,-23.55178,-46.63368,,
89,60701190,546,11,ITAÚ UNIBANCO S.A.,Banco Múltiplo,728,SAO PAULO/CANTAREIRA                                        ,"RUA DA CANTAREIRA, 371",          ,                                                  ,CENTRO,01024-100,SAOPAULO,SP,1957-02-07 00:00:00,11,30034828,9999969959,3550308,-23.54075,-46.62963,,
92,60746948,176,0,BANCO BRADESCO S.A.,Banco Múltiplo,125,"PAULA SOUZA,URB.SAO PAULO, SP                               ","RUA PAULA SOUZA, 73",          ,                                                  ,CENTRO,01027-001,SAOPAULO,SP,13/05/1957 ,11,32282166,9999968292,3550308,-23.53846,-46.63024,,
93,90400888,809,1,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,143,PAULA SOUSA                                                 ,"RUA PAULA SOUSA, 61",          ,                                                  ,LUZ,01027-001,SAOPAULO,SP,31/08/2006 ,11,33224000,9999724651,3550308,-23.53846,-46.63024,,
94,90400888,839,27,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,2197,RUA PAULA SOUZA                                             ,"RUA PAULA SOUSA, 61",          ,(PARTE)                                           ,CENTRO,01027-001,SAOPAULO,SP,31/08/2006 ,11,33117133,9999724504,3550308,-23.53846,-46.63024,,
95,90400888,1539,92,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,4552,MERCADO-SP-SP                                               ,"RUA PAULA SOUSA,",61,                                                  ,CENTRO,01027-001,SAOPAULO,SP,30/04/2009 ,11,33122710,9999607560,3550308,-23.53846,-46.63024,,
100,60701190,291,88,ITAÚ UNIBANCO S.A.,Banco Múltiplo,180,SAO PAULO/SENADOR QUEIROZ                                   ,"AV. CASPER LIBERO, 356",          ,                                                  ,STAEFIGENIA,01033-000,SAOPAULO,SP,15/01/1952 ,11,30034828,9999970212,3550308,-23.53821,-46.63602,,
104,90400888,639,0,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,2177,AV IPIRANGA-SP-SP                                           ,"AV. IPIRANGA, 884",          ,                                                  ,CENTRO-SAOPAULO,01040-000,SAOPAULO,SP,31/08/2006 ,11,2237699,9999724514,3550308,-23.5467,-46.64566,,
105,90400888,887,24,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,243,VINTE QUATRO DE MAIO                                        ,AV IPIRANGA,884,                                                  ,REPUBLICA,01040-000,SAOPAULO,SP,31/08/2006 ,11,33527250,9999724625,3550308,-23.5467,-46.64566,,
106,60701190,1688,97,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3763,PERSONNALITE REPUBLICA                                      ,"RUA BARAO DE ITAPETININGA, 298",          ,                                                  ,CENTRO,01042-000,SAOPAULO,SP,30/04/1999 ,11,30034828,9999968871,3550308,-23.54464,-46.64065,,
107,60701190,252,71,ITAÚ UNIBANCO S.A.,Banco Múltiplo,170,S.PAULO/R.BR.ITAPETININGA                                   ,RUA BARAO DE ITAPETININGA - 143,          ,                                                  ,CENTRO,01042-001,SAOPAULO,SP,15/10/1943 ,11,30034828,9999970250,3550308,-23.54464,-46.64065,,
108,60746948,283,94,BANCO BRADESCO S.A.,Banco Múltiplo,198,"BARãO DE ITAPETININGA, URB. SãO PAULO, SP                   ",RUA BARãO DE ITAPETININGA,107,                                                  ,REPúBLICA,01042-001,SAOPAULO,SP,29/05/1962 ,11,33678700,9999968185,3550308,-23.54464,-46.64065,,
111,60701190,3622,78,ITAÚ UNIBANCO S.A.,Banco Múltiplo,8774,SP/ 7 DE ABRIL REPUBLICA                                    ,"RUA SETE DE ABRIL, Nº 230",          ,TERREO PARTE                                      ,REPUBLICA,01044-000,SAOPAULO,SP,19/10/2009 ,11,30034828,9999590528,3550308,-23.54614,-46.64108,,
112,90400888,817,11,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,2207,SETE DE ABRIL - SP CAPITAL                                  ,"RUA SETE DE ABRIL, 410",          ,                                                  ,CENTRO,01044-000,SAOPAULO,SP,31/08/2006 ,11,32551022,9999724496,3550308,-23.54614,-46.64108,,
115,60701190,182,24,ITAÚ UNIBANCO S.A.,Banco Múltiplo,237,S.PAULO/PCA.DA REPUBLICA                                    ,PRACA DA REPUBLICA - 490,          ,                                                  ,CENTRO,01045-000,SAOPAULO,SP,31/07/1961 ,11,30034828,9999970320,3550308,-23.54426,-46.64265,,
117,90400888,849,7,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,83,REPUBLICA                                                   ,"PRACA DA REPUBLICA, 291",          ,                                                  ,VILABUARQUE,01045-001,SAOPAULO,SP,31/08/2006 ,11,33581000,9999724668,3550308,-23.54426,-46.64265,,
118,90400888,850,32,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,205,001 0205 AG REPUBLICA-SP VII                                ,PCA DA REPUBLICA,291,                                                  ,CENTRO,01045-001,SAOPAULO,SP,31/08/2006 ,11,33347700,9999724640,3550308,-23.54426,-46.64265,,
119,90400888,1146,60,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,145,001 0145 AG REPUBLICA-SP IV                                 ,PCA DA REPUBLICA,291,                                                  ,CENTRO,01045-001,SAOPAULO,SP,31/08/2006 ,11,33347600,9999724649,3550308,-23.54426,-46.64265,,
120,90400888,1415,52,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,3088,001 3088 AG REPUBLICA-SP VI                                 ,PCA DA REPUBLICA,291,                                                  ,CENTRO,01045-001,SAOPAULO,SP,30/04/2009 ,11,33853900,9999607667,3550308,-23.54426,-46.64265,,
121,90400888,1548,83,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,4601,001-4601 AG REPUBLICA-SP V                                  ,PCA DA REPUBLICA,291,                                                  ,CENTRO,01045-001,SAOPAULO,SP,30/04/2009 ,11,32241499,9999607555,3550308,-23.54426,-46.64265,,
124,90400888,712,44,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,1,CENTRAL                                                     ,"RUA BOA VISTA, 263",          ,                                                  ,CENTRO,01062-900,SAOPAULO,SP,31/08/2006 ,11,32499222,9999724609,3550308,,,,
126,60746948,2658,41,BANCO BRADESCO S.A.,Banco Múltiplo,2363,"ARMêNIA - URB. SãO PAULO, SP                                ",AVENIDA TIRADENTES,1286,                                                  ,PONTEPEQUENA,01102-050,SAOPAULO,SP,29/12/1988 ,11,33159550,9999966024,3550308,-23.52827,-46.63107,,
128,90400888,1541,7,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,4727,AG. URB-SP-R.TRES RIOS                                      ,"RUA 3 RIOS, 464",          ,                                                  ,BOMRETIRO,01123-000,SAOPAULO,SP,30/04/2009 ,11,32246300,9999607525,3550308,-23.52945,-46.63615,,
129,15357060,2,14,BANCO WOORI BANK DO BRASIL S.A.,Banco Múltiplo,3,AGENCIA BOM RETIRO                                          ,RUA TRÊS RIOS,261,2º ANDAR                                          ,BOMRETIRO,01123-001,SAOPAULO,SP,2017-05-06 00:00:00,11,35113352,9999245182,3550308,-23.52945,-46.63615,,
130,90400888,642,5,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,2178,R DA GRAÇA-CAP-SP                                           ,"RUA LUBAVITCH, 26/34",          ,                                                  ,BOMRETIRO,01123-010,SAOPAULO,SP,31/08/2006 ,11,32211233,9999724513,3550308,-23.62201,-46.56916,,
131,60701190,25,73,ITAÚ UNIBANCO S.A.,Banco Múltiplo,64,SAO PAULO/BOM RETIRO                                        ,"RUA DA GRACA, 422",          ,                                                  ,BOMRETIRO,01125-000,SAOPAULO,SP,1962-11-01 00:00:00,11,30034828,9999970475,3550308,-23.52703,-46.63996,,
133,58160789,4,70,BANCO SAFRA S.A.,Banco Múltiplo,5,BOM RETIRO                                                  ,"RUA DA GRACA, 109",          ,                                                  ,BOMRETIRO,01125-001,SAOPAULO,SP,1967-12-09 00:00:00,11,33533399,9999971421,3550308,-23.52703,-46.63996,,
134,58160789,83,74,BANCO SAFRA S.A.,Banco Múltiplo,83,VILA MARIA                                                  ,RUA DA GRAÇA,109,                                                  ,BOMRETIRO,01125-001,SAOPAULO,SP,1986-04-02 00:00:00,11,26331100,9999971351,3550308,-23.52703,-46.63996,,
135,58160789,96,99,BANCO SAFRA S.A.,Banco Múltiplo,54,SANTANA                                                     ,RUA DA GRAÇA,109,                                                  ,BOMRETIRO,01125-001,SAOPAULO,SP,1989-06-09 00:00:00,11,22247313,9999971341,3550308,-23.52703,-46.63996,,
136,58160789,147,73,BANCO SAFRA S.A.,Banco Múltiplo,164,GRAÇA                                                       ,RUA DA GRAÇA,109,                                                  ,BOMRETIRO,01125-001,SAOPAULO,SP,16/04/2007 ,11,21775566,9999695914,3550308,-23.52703,-46.63996,,
137,60746948,31,38,BANCO BRADESCO S.A.,Banco Múltiplo,114,"BOM RETIRO,URB.SAO PAULO, SP                                ","RUA DA GRACA, 183",          ,                                                  ,BOMRETIRO,01125-001,SAOPAULO,SP,16/04/1957 ,11,33525300,9999968437,3550308,-23.52703,-46.63996,,
138,60746948,3483,80,BANCO BRADESCO S.A.,Banco Múltiplo,1767,"PRIME BOM RETIRO,URB.SAO PAULO, SP                          ","RUA DA GRACA, 147",          ,                                                  ,BOMRETIRO,01125-001,SAOPAULO,SP,22/09/2003 ,11,32252211,9999876058,3550308,-23.52703,-46.63996,,
142,90400888,1134,27,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,108,BOM RETIRO-SP-SP                                            ,RUA JULIO CONCEICAO 456,          ,                                                  ,BOMRETIRO,01126-000,SAOPAULO,SP,31/08/2006 ,11,33347655,9999724663,3550308,-23.52681,-46.64019,,
143,60701190,638,74,ITAÚ UNIBANCO S.A.,Banco Múltiplo,585,SAO PAULO/BARRA DO TIBAGI                                   ,"RUA BARRA DO TIBAGI,709",          ,                                                  ,BOMRETIRO,01128-000,SAOPAULO,SP,1958-02-01 00:00:00,11,30034828,9999969869,3550308,-23.52389,-46.64364,,
145,60746948,510,27,BANCO BRADESCO S.A.,Banco Múltiplo,549,BARRA FUNDA URB SAO PAULO  SP                               ,"AVENIDA DOUTOR ABRAÃO RIBEIRO, 63 E 79",          ,                                                  ,BOMRETIRO,01133-020,SAOPAULO,SP,1973-06-12 00:00:00,11,32181110,9999967958,3550308,-23.52058,-46.65753,,
150,60746948,147,68,BANCO BRADESCO S.A.,Banco Múltiplo,96,"MARECHAL DEODORO,URB.SAO PAULO, SP                          ","PRACA MARECHAL DEODORO, 376",          ,                                                  ,SANTACECILIA,01150-010,SAOPAULO,SP,1957-07-03 00:00:00,11,38240911,9999968321,3550308,-23.53384,-46.65581,,
152,60746948,296,9,BANCO BRADESCO S.A.,Banco Múltiplo,296,"BARAO DE LIMEIRA,URB.SAO PAULO, SP                          ","ALAMEDA BARAO DE LIMEIRA, 966",          ,                                                  ,CAMPOSELISEOS,01202-002,SAOPAULO,SP,29/05/1967 ,11,30037553,9999968172,3550308,-23.53215,-46.64947,,
153,60746948,3338,63,BANCO BRADESCO S.A.,Banco Múltiplo,2665,"PRIME BARAO DE LIMEIRA,URB.SAO PAULO,SP                     ","ALAMEDA BARAO DE LIMEIRA, 966",          ,PAVIMENTO SUPERIOR                                ,CAMPOSELISEOS,01202-002,SAOPAULO,SP,19/05/2003 ,11,33500555,9999878988,3550308,-23.53215,-46.64947,,
154,90400888,1089,38,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,239,001-0239 CAMPOS ELISEOS-SP-SP                               ,AL BARAO DE LIMEIRA,830,836,CAMPOSELISEOS,01202-002,SAOPAULO,SP,31/08/2006 ,11,32247400,9999724627,3550308,-23.53215,-46.64947,,
157,60746948,474,29,BANCO BRADESCO S.A.,Banco Múltiplo,478,"PAISSANDU,URB.SAO PAULO, SP                                 ","AV. RIO BRANCO, 112",          ,                                                  ,SANTAIFIGENIA,01206-000,SAOPAULO,SP,23/04/1973 ,11,30037585,9999967994,3550308,-23.53302,-46.64523,,
158,60746948,9953,0,BANCO BRADESCO S.A.,Banco Múltiplo,1654,"AGÊNCIA PJ ALTO VALOR SANTA CECÍLIA 1 - URB. SÃO PAULO, SP  ",AVENIDA RIO BRANCO,112,"2 PAVIMENTO, SALA 1                               ",CAMPOSELISEOS,01206-000,SAOPAULO,SP,14/12/2023 ,11,30037585,9998953148,3550308,-23.53302,-46.64523,,
159,60746948,9954,91,BANCO BRADESCO S.A.,Banco Múltiplo,2316,"AGÊNCIA PJ ALTO VALOR SANTA CECÍLIA 3 - URB. SÃO PAULO, SP  ",AVENIDA RIO BRANCO,112,"2- PAVIMENTO, SALA 3                              ",CAMPOSELISEOS,01206-000,SAOPAULO,SP,14/12/2023 ,11,30037585,9998953146,3550308,-23.53302,-46.64523,,
160,60746948,9957,34,BANCO BRADESCO S.A.,Banco Múltiplo,2315,"AGÊNCIA PJ ALTO VALOR SANTA CECÍLIA 2 - URB. SÃO PAULO, SP  ",AVENIDA RIO BRANCO,112,"2 PAVIMENTO, SALA 2                               ",CAMPOSELISEOS,01206-000,SAOPAULO,SP,14/12/2023 ,11,30037585,9998953147,3550308,-23.53302,-46.64523,,
161,60746948,9972,73,BANCO BRADESCO S.A.,Banco Múltiplo,2331,"AGÊNCIA PJ ALTO VALOR SÃO PAULO CENTRO 2 - URB. SÃO PAULO, S",AVENIDA RIO BRANCO,112,"2- PAVIMENTO, SALA 4                              ",CAMPOSELISEOS,01206-000,SAOPAULO,SP,14/12/2023 ,11,30037885,9998953145,3550308,-23.53302,-46.64523,,
162,60746948,292,85,BANCO BRADESCO S.A.,Banco Múltiplo,292,"CAMPOS ELISEOS,URB.SAO PAULO, SP                            ","AV. RIO BRANCO, 1500, 1502 E 1514",          ,                                                  ,CAMPOSELISEOS,01206-001,SAOPAULO,SP,29/05/1967 ,11,37033000,9999968176,3550308,-23.53302,-46.64523,,
163,60701190,107,54,ITAÚ UNIBANCO S.A.,Banco Múltiplo,37,SAO PAULO/SANTA IFIGENIA                                    ,LARGO SANTA EFIGENIA 65,          ,                                                  ,SANTAIFIGENIA,01207-010,SAOPAULO,SP,18/04/1961 ,11,30034828,9999970394,3550308,-23.53872,-46.63898,,
168,60701190,270,53,ITAÚ UNIBANCO S.A.,Banco Múltiplo,173,S.PAULO/RUA DA PALMEIRAS                                    ,RUA DAS PALMEIRAS - 455,          ,                                                  ,VILABUARQUE,01226-010,SAOPAULO,SP,1949-01-08 00:00:00,11,30034828,9999970233,3550308,-23.53743,-46.65114,,
170,60746948,220,0,BANCO BRADESCO S.A.,Banco Múltiplo,93,"SANTA CECILIA,URB.SAO PAULO, SP                             ",AVENIDA ANGÉLICA,845,                                                  ,SANTACECILIA,01227-000,SAOPAULO,SP,1957-07-01 00:00:00,11,30037423,9999968248,3550308,-23.53763,-46.65453,,
175,90400888,2916,0,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,1789,001-1789 SELECT AV ANGELICA-SP                              ,AV ANGELICA,1951,                                                  ,CONSOLAÇÃO,01227-200,SAOPAULO,SP,2013-09-12 00:00:00,11,31227400,9999360380,3550308,-23.55156,-46.66061,,
