,Unnamed: 0,0
0,00000-000,-23.3869813
1,00000-000,-23.6200095
2,00000-000,-23.6295508
3,00000-000,-23.8577516
4,00000-000,-23.8556546
5,00000-000,-23.9373124
6,00000-000,-23.3374337
7,00000-000,-23.2618673
8,00000-000,-23.2920686
9,00000-000,-23.3711864
10,00000-000,-23.372338
11,00000-000,40.3701706
12,00000-000,40.18992739999999
13,00000-000,-23.4347967
14,00000-000,-23.6363102
15,00000-000,-23.5822524
16,00000-000,-23.7327184
17,00000-000,-23.7756028
18,00000-000,-23.7736998
19,00000-000,-23.8436536
20,00000-000,-23.371399
21,00000-000,-24.068741
22,00000-000,-24.0860329
23,00000-000,-24.2290797
24,00000-000,-24.3080947
25,00000-000,-24.2021061
26,00000-000,-24.1465216
27,00000-000,-24.4873849
28,00000-000,-24.3093756
29,00013-109,-24.5082407
30,00045-381,-24.6814278
31,00045-680,-24.6457383
32,00054-250,-24.7772805
33,00064-540,-24.8584178
34,00101-300,-24.4672235
35,00122-468,-25.0325619
36,00200-311,-22.989782
37,00200-400,-23.2157288
38,00331-500,-23.2481206
39,00892-017,-22.9511181
40,01001-000,-23.5011273
41,01002-000,-23.3251044
42,01002-000,-23.4310812
43,01002-010,-22.8840393
44,01003-000,-22.8614253
45,01007-040,-22.7210067
46,01008-000,-22.7106131
47,01009-000,-22.825966
48,01009-000,-23.0360678
49,01009-000,-22.9276473
50,01009-000,-22.9416078
51,01009-000,-22.601206
52,01009-000,-22.6979746
53,01010-001,-22.7389718
54,01010-110,-22.5766871
55,01010-901,-22.5019755
56,01011-000,-22.7473844
57,01011-100,-23.1770273
58,01011-100,-23.1753772
59,01011-100,-23.0349657
60,01011-100,-22.9326973
61,01011-100,-22.7844733
62,01012-000,-22.7496958
63,01012-001,-22.6475546
64,01013-000,-22.5452406
65,01013-000,-22.9548795
66,01013-000,-23.2060231
67,01013-000,-23.1036632
68,01013-001,-22.8877661
69,01013-001,-23.0422694
70,01013-001,-23.0931156
71,01013-001,-23.145228
72,01013-905,-23.4299665
73,01013-915,-23.2984641
74,01014-000,-23.2611694
75,01014-000,-23.0830997
76,01014-000,-22.9682227
77,01014-000,-23.051921
78,01014-000,-22.8529346
79,01014-001,-22.872197
80,01014-001,-22.7884536
81,01014-001,-22.729524
82,01014-900,-22.4939375
83,01014-911,-22.5899119
84,01016-040,-22.4936308
85,01018-010,-22.5185625
86,01018-010,-22.5302548
87,01018-010,-22.6015864
88,01023-001,-22.2481419
89,01024-100,-22.4287775
90,01026-001,-22.2494257
91,01027-000,-22.0634763
92,01027-001,-22.1261969
93,01027-001,-22.1222006
94,01027-001,-21.8551861
95,01027-001,-21.8407582
96,01029-001,-21.6865018
97,01031-000,-21.8898802
98,01031-000,-21.7923581
99,01031-001,-21.6123347
100,01033-000,-21.7552725
101,01033-001,-21.6411471
102,01035-100,-21.4385663
103,01036-900,-21.5411436
104,01040-000,-21.680267
105,01040-000,-21.7433876
106,01042-000,-22.7008098
