,0
74503-110,-16.67543
68180-005,-4.27424
80330-000,-25.47182
58800-010,-6.75836
93265-010,-29.85029
66090-150,-1.45162
13610-210,-22.18575
35900-013,-19.62035
86181-000,-23.27819
45820-090,-16.37378
77402-100,-11.72838
13250-330,-23.00452
26525-022,-22.8082
77600-970,-10.17667
13270-130,-22.96923
04621-002,-23.62398
68625-005,-2.99521
53401-400,-7.94031
72015-020,-15.8393
11510-003,-23.86788
13840-056,-22.36473
04004-040,-23.57415
70730-522,-15.77529
70351-530,-15.8109
20011-040,-22.90554
03403-002,-23.5487
51030-300,-8.13218
82510-160,-25.40311
01023-001,-23.54127
06311-001,-23.524
20931-350,-22.87954
49075-200,-10.90923
65040-000,-2.54472
01506-000,-23.56023
80060-060,-25.4374
22640-102,-23.00763
95020-000,-29.16853
03028-050,-23.52796
05005-000,-23.53281
03323-000,-23.54568
59012-200,-5.77611
09636-000,-23.66627
08010-010,-23.49262
11310-060,-23.96262
01044-908,-23.26729
04208-052,-23.58423
73010-514,-15.65042
58010-450,-7.11565
04132-000,-23.65779
03210-000,-23.59762
03374-000,-23.61267
07071-050,-23.45447
29100-401,-20.33519
11070-101,-23.953
35180-026,-19.53759
65055-285,-2.56739
71200-027,-15.815
72405-604,-15.83297
71710-520,-15.86891
50790-900,-8.50339
40375-017,-12.94403
97015-550,-29.69508
94920-100,-29.95412
61932-971,-3.84664
13020-431,-22.89644
30130-180,-19.92589
66810-100,-1.29842
13070-751,-22.90105
25620-001,-22.51092
69070-250,-3.14271
40445-201,-12.93664
42800-060,-12.69977
54110-130,-8.11631
83005-000,-25.53852
14085-000,-21.1648
55641-080,-8.20231
14160-570,-21.14011
09280-000,-23.6363
89110-064,-26.92881
18070-671,-23.47306
66085-005,-1.42626
72800-680,-16.25234
20071-003,-22.90288
29200-260,-20.67279
13170-902,-22.82355
06717-210,-23.60799
88040-370,-27.5994
60325-001,-3.73402
35160-022,-19.47575
01310-000,-23.56479
01315-000,-23.55295
18300-260,-24.00516
13330-070,-23.07562
30710-010,-19.91083
23515-000,-22.93002
02710-001,-23.50607
09571-380,-23.63591
01227-200,-23.55156
29146-201,-20.34264
02515-020,-23.5095
76900-027,-10.8757
94010-020,-29.94168
29190-010,-19.82132
64018-500,-5.10552
11701-902,-24.00576
05323-001,-23.53927
12600-210,-22.73141
13030-405,-22.92381
20551-031,-22.91615
01126-000,-23.52681
06454-040,-23.4922
06401-000,-23.50902
21041-040,-22.86489
24220-041,-22.90282
56304-020,-9.39545
