,0
16480-000,-21.8844717
16500-000,-21.7751502
16600-000,-21.9867806
16660-000,-21.7288988
16700-000,-21.2906244
16800-000,-21.1094122
16850-000,-21.0640978
16880-000,-21.2004905
16920-000,-20.9021515
16950-000,-21.0092743
16980-000,-21.0891135
17120-000,-22.5698961
17160-000,-22.0760509
17180-000,-21.9197741
17190-000,-21.8765628
17240-000,-22.1102912
17250-000,-22.0560779
17290-000,-22.4837317
17300-000,-22.3458771
17320-000,-22.4353496
17340-000,-22.4728113
17350-000,-22.5506487
17360-000,-22.425332
17370-000,-22.5807849
17380-000,-22.270984
17440-000,-22.5330084
17450-000,-22.299635
17480-000,-22.4862827
17490-000,-22.4380876
17540-000,-22.4486936
17560-000,-22.2408743
17580-000,-21.9422485
17590-000,-21.7939558
17650-000,-21.948245
17690-000,-21.9354842
17700-000,-21.7833709
17730-000,-21.879413
17740-000,-21.685259
17780-000,-21.6472763
17800-000,-21.5791339
17830-000,-21.4284481
17860-000,-21.4884964
17880-000,-21.5913644
17890-000,-21.4542174
17900-000,-21.5427809
17920-000,-21.5081169
17930-000,-21.4082519
17960-000,-21.2480279
17980-000,-21.4473676
17990-000,-21.1839565
18120-000,-23.5297232
18125-000,-23.5306892
18150-000,-23.8107528
18160-000,-23.661914
18170-000,-23.8139412
18180-000,-23.9441822
18185-000,-23.8431563
18190-000,-23.5340875
18200-000,-23.6125307
18230-000,-23.9226248
18240-000,-23.4591973
18260-000,-23.1747999
18285-000,-23.2262827
18290-000,-23.7445787
18310-000,-24.2114782
18320-000,-24.4471702
18400-000,-24.0997279
18440-000,-23.848168
18460-000,-24.0568088
18480-000,-23.7157176
18500-000,-22.9686128
18520-000,-23.1744477
18530-000,-23.0457688
18540-000,-23.2248099
18550-000,-23.3027395
18560-000,-23.4053256
18570-000,-23.0199749
18590-000,-23.1099234
18640-000,-23.0834705
18650-000,-22.7069095
18660-000,-22.82203
18670-000,-22.6535858
18690-000,-23.173197
18710-000,-23.1960487
18720-000,-23.4322217
18730-000,-23.4835372
18740-000,-23.4819846
18760-000,-23.0647184
18770-000,-22.8413601
18775-000,-22.8305069
18780-000,-23.0499831
18800-000,-23.1935986
18870-000,-23.3879703
18890-000,-23.4677447
18900-000,-22.8991998
18935-000,-22.6556609
18950-000,-23.0591934
18960-000,-23.034166
18970-000,-23.0573113
19160-000,-22.1840675
19190-000,-21.8313598
19200-000,-22.5827873
19210-000,-22.3821373
19220-000,-22.5591203
19260-000,-22.3811068
19274-000,-22.5305521
19280-000,-22.4165231
19300-000,-22.0236981
19360-000,-22.0558139
19400-000,-21.7718151
19450-000,-21.7917226
19470-000,-21.9666763
19500-000,-22.1468812
19530-000,-21.9564476
19560-000,-22.1351054
19570-000,-22.2480101
19590-000,-22.5376718
19600-000,-22.2592565
19640-000,-22.6820531
19700-000,-22.4027417
19740-000,-22.2347639
19770-000,-22.3084257
19780-000,-22.1642972
19800-000,-22.7022456
19820-000,-22.774298
19830-000,-22.4409357
19840-000,-22.6515471
19860-000,-22.7432353
19865-000,-22.8228597
19870-000,-22.87815
19880-000,-22.8065424
19920-000,-22.8556931
19940-000,-22.8136187
19970-000,-22.8368201
23860-000,-22.9161789
23890-000,-22.7691646
23900-000,-23.0115939
23970-000,-23.0656361
24800-000,-22.766604
24890-000,-22.7883834
24900-000,-22.8935142
25600-000,-22.5285535
25780-000,-22.1878784
25845-000,-22.2391121
25850-000,-22.2008945
25870-000,-22.0293547
25880-000,-22.0471218
25900-000,-22.5701907
25940-000,-22.5961542
26600-000,-22.6173051
26650-000,-22.5163794
26700-000,-22.5284121
26900-000,-22.492096
26950-000,-22.3341196
27175-000,-22.602558
27197-000,-22.5383309
27460-000,-22.7772323
27570-000,-22.4463864
27580-000,-22.4428239
27600-000,-22.2496709
27660-000,-22.1748842
27700-000,-22.4028163
27998-000,-22.190606
28100-000,-21.8357641
28110-000,-21.8387934
28200-000,-21.6392446
28230-000,-21.4033845
28250-000,-21.4147764
28300-000,-21.1877747
28360-000,-21.1330059
28375-000,-20.8771822
28380-000,-21.034622
28390-000,-20.9868314
28400-000,-21.6761772
28430-000,-21.5103073
28455-000,-21.3822269
28460-000,-21.398788
28470-000,-21.5539712
28495-000,-21.6687477
28500-000,-21.8898802
28540-000,-22.0693941
28545-000,-21.97873
28550-000,-21.874017
28570-000,-21.7319007
28637-000,-22.0974282
28640-000,-21.9175709
28650-000,-22.0708122
28660-000,-22.1979404
28680-000,-22.5580993
28735-000,-22.1093305
28740-000,-22.1416954
28750-000,-22.0938182
28770-000,-21.9612981
28800-000,-22.7373942
28820-000,-22.55773
28860-000,-22.5049736
28880-000,-22.5620382
28890-000,-22.5370618
28900-000,-22.8548649
28930-000,-22.9171888
28940-000,-22.7883436
28950-000,-22.7812374
28960-000,-22.8464357
28970-000,-22.8339976
28990-000,-22.8912856
29135-000,-20.4045005
29185-000,-19.9685254
29230-000,-20.6855411
29240-000,-20.5613639
29255-000,-20.4419793
29260-000,-20.3273264
29280-000,-20.7702311
29285-000,-20.8451736
29290-000,-20.8250212
29295-000,-20.6458812
29330-000,-20.9829904
29345-000,-21.1099128
29350-000,-21.1153921
29360-000,-20.5470065
29370-000,-20.3821834
29375-000,-20.3778126
29380-000,-20.4000431
29390-000,-20.3597726
29395-000,-20.2628866
29398-000,-20.317192
29400-000,-21.0985212
29460-000,-21.0980507
29470-000,-21.001985
29480-000,-20.9414569
29490-000,-20.9496372
29500-000,-20.6869406
29550-000,-20.8131981
29560-000,-20.7714101
29580-000,-20.6445443
29600-000,-20.0807222
29615-000,-19.8703061
29620-000,-19.940272
29630-000,-20.1379274
29640-000,-20.1054387
29645-000,-20.0934536
29650-000,-19.8486906
29665-000,-19.7234229
29670-000,-19.8400459
29680-000,-19.7117202
29690-000,-19.7040654
29725-000,-19.41654
29730-000,-19.6596295
29750-000,-19.1598585
29760-000,-19.0249945
29770-000,-18.8872717
29780-000,-18.9349074
29785-000,-18.9634073
29795-000,-18.9732399
29800-000,-18.694373
29820-000,-18.5218358
29830-000,-18.7792534
29845-000,-18.4958087
29850-000,-18.3772551
29885-000,-18.2495805
29890-000,-18.1417342
29920-000,-19.2117057
29927-000,-19.0983721
29950-000,-18.8851034
29960-000,-18.4785834
29970-000,-18.2031464
29980-000,-18.3958665
32400-000,-20.0303793
32450-000,-20.0625032
32900-000,-20.0661367
33200-000,-19.7333431
33350-000,-19.702875
33400-000,-19.6445353
33461-244,26.6211772
33600-000,-19.6355296
33980-000,-19.6519566
34000-000,-20.2112961
34800-000,-19.8261106
34990-000,-19.662086
35110-000,-18.6118378
35120-000,-19.1814137
35125-000,-19.0194013
35140-000,-19.3376763
35148-000,-19.3846368
35167-000,-19.3882364
35177-000,-19.5794448
35190-000,-19.2892488
35195-000,-19.2580383
35200-000,-19.5928966
35230-000,-19.2277915
35240-000,-19.1402007
35270-000,-18.6192104
35277-000,-18.739119
35280-000,-18.5634506
35290-000,-18.7078942
35324-000,-19.6461661
35330-000,-19.4665851
35338-000,-19.6520399
35340-000,-19.7621505
35350-000,-20.0226087
35365-000,-20.2657138
35367-000,-20.3007479
35370-000,-20.1574053
35380-000,-20.3366572
35390-000,-20.5117664
35400-000,-20.3292092
35420-000,-20.3508306
35436-000,-20.5470397
35440-000,-20.1517978
35450-000,-20.2706236
35460-000,-20.1880065
35470-000,-20.3238811
35490-000,-20.7387451
35494-000,-20.615319
35514-000,-20.3677657
35515-000,-19.9497868
35516-000,-19.9856514
35519-000,-19.8509278
35521-000,-20.3142689
35530-000,-20.4201455
35534-000,-20.56834
35536-000,-20.5291465
35537-000,-20.6672558
35540-000,-20.7432347
35547-000,-20.544862
35550-000,-20.4703278
35557-000,-20.1948757
35560-000,-20.0967298
35570-000,-20.5923566
35588-000,-20.2890228
35590-000,-19.993828
35595-000,-19.7912637
35600-000,-19.6499319
35603-000,-19.8985616
35604-000,-19.8404918
35606-000,-19.352516
35610-000,-19.4455412
35620-000,-19.1013992
35628-000,-18.5520933
35640-000,-19.157743
35650-000,-19.5774563
35666-000,-19.5118239
35668-000,-19.7877348
35669-000,-19.3501941
35670-000,-20.017643
35675-000,-19.9601902
35685-000,-20.2174463
35720-000,-19.5229728
35740-000,-19.7671877
35765-000,-19.5137466
35774-000,-19.2347013
35790-000,-18.8494836
35830-000,-19.4259169
35860-000,-18.9442369
35910-000,-19.4066325
35920-000,-19.7217921
35935-000,-19.8436772
35938-000,-19.7631273
35940-000,-19.9661142
35950-000,-20.1180435
35960-000,-20.0527056
35970-000,-19.8741884
35986-000,-19.9283481
35995-000,-19.9598998
36120-000,-21.8706808
36130-000,-22.0600209
36140-000,-21.7698763
36160-000,-21.3477494
36170-000,-21.2714221
36180-000,-21.2346209
36212-000,-21.1779238
36240-000,-21.4405898
36260-000,-21.0341098
36280-000,-21.0140086
36325-000,-21.1097818
36340-000,-20.8158114
36345-000,-20.8894314
36350-000,-20.9422522
36370-000,-21.2169758
36400-000,-20.6850848
36415-000,-20.5227041
36420-000,-20.5073333
36480-000,-20.6024306
36500-000,-21.1050113
36512-000,-21.1569564
36520-000,-21.0268402
36540-000,-20.9039104
36544-000,-20.850899
36550-000,-20.8412518
36555-000,-20.8181135
36570-000,-20.7473931
36580-000,-20.632882
36600-000,-21.7427755
36640-000,-21.8823765
36660-000,-21.8293292
36680-000,-21.551011
36700-000,-21.560374
36730-000,-21.6720154
36750-000,-21.4149514
36780-000,-21.3204684
36784-000,-21.3193426
36790-000,-21.1378234
36800-000,-20.6771115
36820-000,-20.6165787
36830-000,-20.6101715
36844-000,-20.8831378
36855-000,-21.0159418
36880-000,-21.0963291
